sample_id,species_id,trial,wind_speed,temp,rh
DK01,JUPI,1,0.8,66.2,66.3
DK02,JUPI,6,0.8,70.3,65.8
DK03,JUPI,23,0.8,65.8,67.3
DK04,JUPI,15,1,64.8,73.1
DK05,JUPI,18,1,65.3,69.9
DK06,JUPI,21,1.6,69.5,65.2
DK07,JUPI,22,1.1,67.4,61.6
DK08,RHTR,7,2.8,70,60.2
DK09,RHTR,2,2,68.5,71
DK10,RHTR,32,1.7,63.1,70.3
DK11,RHTR,17,1.7,66.3,68
DK12,RHTR,14,0.8,68.3,64.8
DK13,RHTR,27,0,65.3,63.8
DK14,RHTR,34,1,64,70.9
DK15,PRGL2,16,1.2,65.8,68.3
DK16,PRGL2,8,1.2,68.2,62.1
DK17,PRGL2,3,1.1,68.8,67.6
DK18,PRGL2,12,1,68,60.7
DK19,PRGL2,20,0.9,65,68.8
DK20,PRGL2,28,1.1,67.5,61.3
DK21,PRGL2,35,0.8,63.3,69.1
DK22,PRAN3,4,0.6,66.4,64.3
DK23,PRAN3,9,0.9,70.3,60.1
DK24,PRAN3,25,0.8,61.2,64.4
DK25,PRAN3,19,1.1,66.1,70.7
DK26,PRAN3,11,0.9,66.5,69.1
DK27,PRAN3,24,0.9,68.9,58.8
DK28,PRAN3,31,0,61,66.7
DK29,CELAR,26,0.9,64.3,64.2
DK30,CELAR,10,0.9,66.8,59.2
DK31,CELAR,5,1,69.7,61.8
DK32,CELAR,29,1.1,65,63.1
DK33,CELAR,13,1.2,65,70.6
DK34,CELAR,30,0,63.7,65.7
DK35,CELAR,33,1.3,63.6,70
ST01,QUVI,36,1.6,72.5,40.1
ST02,QUVI,42,1.2,100.1,19.9
ST03,QUVI,48,1.4,82.6,22.8
ST04,QUVI,67,3.6,79.4,38.4
ST05,QUVI,68,4.2,80.1,39.8
ST06,QUVI,69,5.3,76.1,41.2
ST07,QUVI,70,4.1,76.4,41.8
ST08,SOSE3,37,0.6,78.8,33.6
ST09,SOSE3,43,1.1,89.6,21.1
ST10,SOSE3,49,1.4,83.3,22.2
ST11,SOSE3,55,7.1,85.8,21.2
ST12,SOSE3,56,2.4,85.7,17.8
ST13,SOSE3,57,2.5,85.2,15.9
ST14,SOSE3,58,5.3,84.9,15.4
ST15,FOPU2,38,2.2,79.4,32.9
ST16,FOPU2,44,1.3,103.2,14.6
ST17,FOPU2,50,1.2,81.3,22.6
ST18,FOPU2,71,6.1,75.2,41.9
ST19,FOPU2,72,8,74.8,42.9
ST20,FOPU2,73,2.8,75.2,43.5
ST21,FOPU2,,,,
ST22,SEBE2,39,1.4,85.1,25.9
ST23,SEBE2,45,1.1,91.2,17.3
ST24,SEBE2,51,0.8,81.2,24.4
ST25,SEBE2,74,7.4,74.3,43.8
ST26,SEBE2,54,1,75.9,23.8
ST27,SEBE2,75,3,74.4,44.3
ST28,SEBE2,,,,
ST29,JUAS,40,0.8,87.3,21.7
ST30,JUAS,46,1.4,89.4,17.5
ST31,JUAS,52,0.7,81.7,22.2
ST32,JUAS,59,9.8,84.7,15.9
ST33,JUAS,60,4.8,86.7,20.3
ST34,JUAS,61,4.2,86.7,19.6
ST35,JUAS,62,4.7,86,20.9
ST36,JUAS,41,1.2,82.2,26.7
ST37,JUAS,47,1.6,88.6,19.2
ST38,JUAS,53,0.9,77.7,23.9
ST39,JUAS,63,5.8,86,22.5
ST40,JUAS,64,9.5,85.9,21.5
ST41,JUAS,65,6.4,84.6,21.5
ST42,JUAS,66,4.9,84.3,22.4
TD01,MATR3,88,4.3,86.9,37.2
TD02,MATR3,90,2.8,86.6,38.6
TD03,MATR3,79,2.1,78.6,52.2
TD04,MATR3,87,0.9,88.8,37.3
TD05,MATR3,89,2.9,86.4,38.6
TD06,DITE3,,,,
TD07,DITE3,84,2,89.1,39.5
TD08,DITE3,77,1.8,78.9,49.6
TD09,DITE3,86,1.5,89.5,38.3
TD10,MATR3,81,3.8,74.5,56.2
TD11,MATR3,80,3.5,74.3,56.5
TD12,DITE3,85,1.4,86.7,38.8
TD13,DITE3,78,2,79.6,50.1
TD14,DITE3,76,1,78.7,51.7
TD15,RHVI3,94,1.6,85.3,40.7
TD16,RHVI3,83,1.3,74.3,62.4
TD17,RHVI3,91,1.6,86.5,39.8
TD18,RHVI3,93,1.6,85.6,40.8
TD19,RHVI3,95,2.1,84,42
TD20,RHVI3,82,2.3,74.2,56.8
TD21,RHVI3,92,1.9,86.8,39.3
FRT01,PRAN3,101,,,
FRT02,PRAN3,100,,,
FRT03,PRAN3,124,,,
FRT04,PRAN3,111,,,
FRT05,PRAN3,123,,,
FRT06,PRAN3,110,,,
FRT07,PRAN3,,,,
FRT08,RHTR,99,,,
FRT09,RHTR,98,,,
FRT10,RHTR,109,,,
FRT11,RHTR,116,,,
FRT12,RHTR,125,,,
FRT13,RHTR,108,,,
FRT14,RHTR,126,,,
FRT15,PRGL2,107,,,
FRT16,PRGL2,97,,,
FRT17,PRGL2,,,,
FRT18,PRGL2,96,,,
FRT19,PRGL2,106,,,
FRT20,PRGL2,,,,
FRT21,PRGL2,,,,
FRT22,JUPI,104,,,
FRT23,JUPI,105,,,
FRT24,JUPI,118,,,
FRT25,JUPI,119,,,
FRT26,JUPI,114,,,
FRT27,JUPI,112,,,
FRT28,JUPI,117,,,
FRT29,JUPI,102,,,
FRT30,JUPI,103,,,
FRT31,JUPI,121,,,
FRT32,JUPI,120,,,
FRT33,JUPI,115,,,
FRT34,JUPI,113,,,
FRT35,JUPI,122,,,
